"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880","920","970","1020","1070","1120","1160","1210","1260","1310","1390","1460","1530","1600","1710","1850","2030","2220","2400","2520","2670","2860","3090","3280","3460","3680","3910","4170","4560","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6900","6440","6750","6860","7140","7510","6560","5520","6020","5690","6220","6920","7890","8480","9230","10240","11030","11870","13720","13880","14620","15180","15990","16200","17380","17820","19450","21220","22300","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19080","26550","27290","29420","29050","31100","32310","31870","33110","33270","34880","34410","33700","34720","35820","37500","38350","39750","39110","35300","36070","35440","36540","38930","38470","44300","44120","44980","44620","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19020","18440","18380","18240","18870","23400","26510","21670","22580","24560","25780","26450","27240","27010","27520","28720","29680","30320","30130","28360","28500","28950","30340","30470","30310","30750","30050","30920","","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830","1050","2180","3060","4560","4880","5040","5200","5530","5720","6500","6750","7630","8430","9360","9380","9500","10060","10380","11160","11530","12100","12860","13670","14270","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5430","5540","5110","4830","4350","3980","4190","4750","5230","5530","6010","6460","6950","7660","8820","10020","11370","12670","14220","14260","15630","16820","17410","17650","18370","17590","17270","18200","19200","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3250","3670","4110","4380","4340","4380","4360","4450","4440","4680","5180","5320","5540","5900","6040","6280","6590","6510","6700","7020","6930","7320","7410","7460","7650","8060","7870","7790","8200","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26600","26610","27190","28520","29100","30800","","","","","","","","","","","","75120","74820","68470","68890","68110","67190","66810","","","","","","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2280","2440","2510","2630","2760","2890","3020","3170","3320","3300","3380","3450","3530","3580","3740","3970","4230","4460","4770","4850","5000","5260","5470","5840","6250","6650","7020","7270","7670","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6530","6760","6790","7120","7430","7980","8080","8320","8210","8170","8810","8970","9260","9440","10150","10690","11370","12300","13010","12990","13900","14670","15180","15920","16030","15470","15010","15370","15820","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8960","8890","8470","8700","9170","9470","9950","10620","11090","11190","11870","11750","11960","12360","12930","13640","14530","15460","15530","15110","15550","15280","16030","16200","16460","16700","17150","17640","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54960","56960","59320","59220","60710","63090","64470","63100","62020","63430","65310","67180","69510","71510","72550","73930","78410","80040","78970","77340","78330","80280","81710","81350","80710","84210","83860","84770","85790","",
"Bhutan","BTN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430","1430","1480","1570","1740","1790","1930","2090","2030","2120","2730","2960","3210","3430","3660","4020","4410","5230","5460","5730","6300","6810","7090","7360","7830","8330","8850","9320","9680","",
"Botswana","BWA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360","6040","6250","6630","6060","6770","6800","7500","7860","7950","8010","8360","7910","8600","8790","9540","10530","11570","12260","11730","12410","14040","14870","15900","16730","16470","16650","17190","17970","",
