"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","1230","1540","1650","1800","1990","2060","2060","1980","2120","2110","1990","1970","2020","2000","2030","1820","1870","1900","2080","","","","","","","","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13520","14300","14680","14850","15260","16150","16740","17720","18870","19790","21450","22670","24090","24850","25940","27300","30280","31810","32570","31800","31480","31510","31760","32430","33600","34930","36750","38990","39900","",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9070","9810","11050","12360","13710","15870","18260","20450","21470","19880","20440","23310","24970","26860","28140","28570","30200","32790","34670","",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","390","350","390","400","420","470","470","450","470","490","530","530","510","580","650","730","810","890","950","1050","1160","1250","1360","1490","1620","1740","1890","2010","",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14925.7924763303","15610.7907875356","16102.3806047955","16420.5549211836","17233.3359224634","17906.5994074833","18598.1603714527","19429.1575662623","20310.4294499864","21097.3922999435","22543.2459935442","23624.3521848333","24652.3686699191","25269.5607198363","26529.7107793489","27525.1799871232","29771.7001171458","31425.9947664407","32773.3232861594","32134.9824694939","33259.2028484945","34773.0404397372","35317.3006072771","36501.990556941","37473.9051575582","38466.5563931626","40005.2399373932","42412.4533295244","43620.0116884675","",
"Fragile and conflict affected situations","FCS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1755.28892979434","1330.42473407492","1458.39623563548","1594.77151626622","1660.35467252206","1697.17396648801","1814.79305976002","1965.0641222006","2208.16959265297","2345.70227575297","2399.58489595726","2463.0986147058","2409.67930092546","2233.47499845501","2605.12999986933","2821.35233336145","3065.22474505428","3248.56938754309","3454.35498958348","3527.86199233937","3694.70317927856","3484.64305013791","3904.71697530537","3921.69934257357","4070.88180280091","4137.78679899799","4329.13093692602","4427.36044422209","4543.84736501876","",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17830","17060","16550","16630","17720","18990","19610","21450","23100","24520","26590","27760","28650","28810","31340","32130","34690","37820","40040","38320","39260","40870","40830","41430","41850","42640","44330","46480","47970","",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3690","3700","3950","4070","4250","4510","4790","4700","4690","5140","5420","5470","5820","5940","6400","6710","6620","6790","6900","6940","6980","7290","7470","8100","8470","8960","9270","9680","10250","",
"France","FRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17690","18360","19010","19270","20040","20810","21510","22510","23660","24790","26510","28000","28820","28510","29440","31020","33080","34770","35860","35480","36730","38440","38500","40410","41010","41720","42840","45290","46360","",
"Faroe Islands","FRO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2350","2350","2420","2360","2380","2320","2380","2550","2640","2700","2790","2820","3000","3110","3180","3160","3330","3370","3520","3530","3520","3460","3980","3930","4070","4160","",
"Gabon","GAB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11380","12160","11370","11580","12310","12630","13000","13620","14220","12720","12000","12640","13010","12940","12410","13600","12770","13260","12800","12860","13190","13810","14890","15460","16630","16340","16450","16640","16580","",
"United Kingdom","GBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16870","17250","17860","18690","20110","19750","20990","22470","23540","24130","26360","27710","29260","30510","32120","32940","34590","35240","36090","34510","36040","36970","37510","38690","40030","41090","41900","44060","44930","",
"Georgia","GEO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5180","4200","2330","1660","1540","1630","1950","2410","2610","2780","2910","3080","3310","3770","4170","4720","5410","6180","6360","6250","6630","7330","8160","8530","9180","9350","9500","10100","10900","",
"Ghana","GHA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1210","1280","1320","1380","1410","1460","1520","1570","1620","1670","1710","1790","1860","1940","2050","2210","2370","2480","2690","2770","2920","3260","3480","3830","3880","3990","4060","4340","4650","",
"Gibraltar","GIB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","820","850","880","940","980","1020","1050","1090","1110","1150","1180","1210","1300","1230","1270","1290","1360","1470","1500","1450","1530","1600","1710","1780","1880","1930","2130","2420","2480","",
"Gambia, The","GMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","860","930","960","980","970","970","980","1010","1020","1060","1110","1150","1080","1160","1240","1230","1240","1290","1360","1410","1470","1390","1460","1520","1490","1540","1530","1580","1680","",
"Guinea-Bissau","GNB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1010","1050","1070","1090","1130","1160","1300","1400","990","1000","1090","1100","1110","1100","1140","1200","1250","1300","1320","1340","1400","1520","1480","1470","1560","1610","1690","1740","1790","",
"Equatorial Guinea","GNQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","720","970","1050","1010","1060","1680","4470","4800","6290","5620","5610","7380","6720","8240","14340","23570","27060","28750","25010","19550","22400","24250","23370","22800","22320","20330","19470","18170","",
"Greece","GRC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13580","14360","14720","14700","15240","15820","16380","17320","18120","18260","19650","21120","22610","23800","25140","25620","27990","28540","29940","29690","27570","25430","25450","26070","27020","26940","27270","28640","29410","",
"Grenada","GRD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4500","4800","4860","4780","4910","5010","5270","5590","6240","6720","7100","6970","7220","8050","7980","10000","9860","10570","10880","9880","10230","10590","10580","11030","11290","11760","12580","13370","14270","",
"Greenland","GRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3230","3430","3580","3730","3880","4060","4140","4300","4490","4610","4780","4910","5010","5110","5280","5490","5790","6170","6380","6290","6400","6630","6880","7120","7370","7620","7780","8020","8310","",
"Guam","GUM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1360","1250","1580","1970","2300","2500","2950","3120","3180","3270","3450","3570","3660","3770","4000","4110","4700","5120","5250","5470","5670","6080","6520","6870","7230","7510","7880","8190","8570","",
"High income","HIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18114.8242365518","18923.2487146071","19672.1378461528","20245.8747167875","21223.6966786945","22122.7313963802","23126.2564979316","24239.8409470537","25130.4389757623","26136.8609752756","27860.9406037319","28772.5563574887","29630.0415526873","30602.9843252467","32343.5452879021","33967.3045422435","36284.5067399925","37855.2095817662","38592.6332911045","37635.5401470496","39223.9483951374","40955.2749527576","42269.2703087139","43695.4947025382","45071.9728703791","46256.8701490268","47312.694692126","49287.4312910328","50819.5582404491","",
"Hong Kong SAR, China","HKG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17020","18340","19740","21970","23180","23910","23860","25500","24560","25310","27290","28250","28570","30620","33770","36650","40890","44690","47450","45270","48120","51450","52090","54670","56930","58290","60230","64380","67700","",
"Honduras","HND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1960","1900","1990","2150","2140","2250","2270","2380","2430","2400","2550","2600","2650","2740","2890","3100","3320","3600","3730","3560","3660","3760","3860","3950","4040","4230","4360","4570","4780","",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","904.989296552118","912.00078318622","910.661026696632","929.211659217082","935.295624122863","969.490915492131","1025.75445346323","1066.05192961356","1091.26361829815","1109.51252027744","1129.83611476868","1164.07346809729","1191.00129839754","1227.20486357385","1295.72185396189","1383.10797010748","1479.21892869331","1573.95827374854","1661.86019485549","1698.75439441122","1763.16440589565","1841.11775421649","1919.52769338659","1939.17484120533","2104.31140016649","2185.8299993346","2256.20142070916","2348.52015113578","2438.10146974554","",
"Croatia","HRV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7940","8650","9450","9710","9630","10450","11460","12480","13110","14280","14970","17010","18950","20270","19390","19230","20190","20520","21360","21640","22860","23740","25830","26840","",
"Haiti","HTI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1360","1410","1340","1270","1130","1250","1300","1330","1350","1380","1400","1390","1380","1390","1350","1390","1450","1520","1540","1570","1480","1580","1630","1700","1760","1770","1800","1830","1870","",
"Hungary","HUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8300","8710","8890","9030","9340","9880","10300","11310","12590","13820","14780","15390","16160","17370","17780","19420","19720","20540","21780","22180","23830","24450","25190","26200","27650","29500","",
"IBRD only","IBD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2793.45769278511","2892.43221631621","2974.43407151559","3149.20521412334","3277.95557443354","3446.63062139922","3644.49997800297","3843.2799954785","3920.48109541988","4069.16915830462","4367.25184277519","4589.27659408961","4824.11693808713","5147.60079720257","5636.98563803281","6163.20672849572","6908.24537744021","7663.86127015674","8286.08141865686","8515.69710663549","9175.84209464001","9914.17663511226","10549.1166552921","11131.3777975769","11781.1632296757","12246.8374189216","12857.8115477949","13685.0901276388","14537.6162753678","",
"IDA & IBRD total","IBT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2496.91974879746","2579.07748830737","2647.7542629625","2786.16554314235","2889.54579146535","3029.76899648051","3194.96790671253","3356.02071966733","3418.34797210128","3539.21346922412","3777.46531555071","3961.28308507093","4156.91117176635","4421.27214751444","4823.62954168782","5257.0060129528","5865.71020819971","6472.72915564852","6967.49140684392","7150.36650200374","7670.67741774059","8248.12432489972","8748.07523974623","9204.37034911228","9727.41776338279","10087.4416924434","10546.7136687024","11175.5509036787","11827.8138300008","",
"IDA total","IDA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1299.97180949287","1326.96231299657","1358.04378403556","1364.1396880138","1383.7196803572","1431.86399266413","1491.46322606023","1528.87911630257","1558.13621874415","1598.48182422051","1639.58947177274","1714.00553123212","1800.79468609557","1887.93263803202","2021.19704792781","2173.7816060735","2360.99925842984","2515.96199938774","2641.4551649565","2732.02028167039","2860.37996249302","2980.64160065515","3122.96127793952","3259.23404248068","3472.40689838086","3594.4000027224","3684.47876870528","3818.38704598078","3990.92726391117","",
"IDA blend","IDB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1978.34617253545","2024.62003896645","2090.14646080485","2058.91553913528","2086.10380106686","2143.64114868263","2220.37852177499","2247.1334302624","2267.23614901727","2316.53817872788","2344.48291125774","2451.79748745546","2615.51716411461","2754.78032922244","2963.09327601183","3177.507593228","3460.77641618841","3649.88217754506","3786.46801773047","3909.29573241227","4078.01489666375","4263.0824909177","4456.64442270055","4685.51853261704","4969.68603141487","5135.6076138017","5204.62750040519","5324.45809006319","5512.20622172411","",
"Indonesia","IDN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2850","3100","3330","3600","3940","4280","4640","4850","4090","4030","4310","4650","4900","5120","5400","5800","6260","6750","7240","7540","8060","8610","9180","9710","10220","10700","11230","11880","12650","",
"IDA only","IDX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932.957731261898","949.53923695136","961.777080770889","991.685233412858","1008.03152619182","1052.41531652419","1103.62552015492","1148.10001439643","1183.20399845983","1219.31401401717","1269.36462665739","1326.98058831275","1371.83850791001","1431.72678891776","1525.56367648495","1646.70472345036","1783.22615351654","1922.0580136254","2043.64613715374","2117.02166680094","2223.46440495429","2310.9394030017","2425.71267437623","2511.11506364149","2686.59634345177","2784.84769394765","2887.45151736453","3031.19801117976","3197.98919089716","",
"Isle of Man","IMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1220","1250","1320","1390","1480","1600","1720","1790","1890","2050","2130","2250","2340","2530","2750","3020","3310","3610","3730","4000","4310","4580","4850","5190","5620","6060","6560","7090","7680","",
"Not classified","INX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12760","13420","13910","14620","15800","17300","18810","20450","22480","23540","26300","27800","29520","31240","33370","35020","38770","40430","38350","34790","36270","36450","37310","40480","43230","52990","57920","61170","65290","",
"Iran, Islamic Rep.","IRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7400","8390","8650","8830","8650","9080","9350","9540","9830","9780","10520","10720","11560","12640","13330","14020","15030","16550","16740","16790","17770","18400","17270","17320","18160","17860","20210","21050","","",
"Iraq","IRQ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7390","2670","3540","4630","4770","4820","5280","6230","8240","9490","9660","9790","8900","6010","9270","9880","10990","11290","12680","12630","13030","13680","15400","15970","15880","15860","17690","17220","17290","",
"Iceland","ISL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21480","22060","21620","22150","23080","23530","24520","26450","28150","28980","28670","30820","32660","32400","34320","35470","36300","38750","34050","33600","32160","34550","36690","42100","43500","46480","50320","54140","55190","",
"Israel","ISR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14600","15470","16420","17040","18190","19360","20100","20680","21300","21590","23360","23870","24290","22930","24460","24600","25570","27420","26880","26840","28290","30160","30910","33480","34060","35210","37170","38470","39830","",
"Italy","ITA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18320","19180","19730","20050","20890","22010","22750","23710","24810","25480","26920","27850","28510","28940","29400","30100","32460","34020","35080","34490","34940","36250","36190","36070","36070","36580","39140","41150","42020","",
"Jamaica","JAM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4290","4570","4820","5630","5610","5840","6050","5990","5870","5950","6080","6190","6260","6600","6840","7060","7510","7790","7920","7480","7560","7820","8050","8090","8250","8280","8340","8670","8930","",
"Jordan","JOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3870","3730","4370","4470","4590","4830","4860","5060","5230","5380","5810","6180","6440","6730","7360","7940","8540","9170","9430","9500","9120","9040","8930","8890","8910","8880","8910","9080","9300","",
"Japan","JPN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19710","21000","21640","21990","22590","23610","24800","25470","25380","25630","27220","27890","28560","29380","30920","32350","33960","35540","35710","34010","35890","36790","38190","40280","40590","41950","42500","43490","44420","",
"Kazakhstan","KAZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7010","6330","6020","6240","6530","6590","6800","7380","8690","9790","10740","11880","12930","14220","15600","15840","16380","17110","18210","19380","21290","22380","23620","22930","23540","24230","",
"Kenya","KEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1460","1480","1450","1420","1460","1530","1610","1610","1640","1650","1650","1700","1700","1730","1820","1950","2080","2210","2210","2230","2380","2520","2600","2710","2830","2960","3100","3230","3430","",
"Kyrgyz Republic","KGZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2110","1840","1590","1280","1220","1310","1420","1420","1460","1550","1690","1710","1850","1980","2040","2180","2420","2570","2640","2560","2610","2850","3050","3220","3320","3380","3550","3780","",
"Cambodia","KHM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","820","860","880","970","1060","1140","1200","1320","1460","1670","1890","2120","2260","2240","2360","2530","2710","2940","3130","3300","3510","3770","4060","",
"Kiribati","KIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1530","2050","2110","2060","2100","2230","1950","2360","2650","2400","2570","2710","2600","2500","2490","2510","2470","2570","2560","2410","2510","2430","2780","3210","3650","4330","4300","4370","4410","",
"St. Kitts and Nevis","KNA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9840","9840","10280","11110","11820","12700","13390","14340","14100","14570","16280","17290","17700","16930","18200","20630","21910","22440","24140","23280","23160","23900","24140","26010","26260","27020","27960","28920","30120","",
"Korea, Rep.","KOR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8260","9330","10020","10850","11970","13240","14370","15310","14420","16200","17950","19040","20690","21290","22890","24010","25720","27740","28650","28260","30400","31410","32430","32850","33690","35860","37240","38830","40090","",
"Kuwait","KWT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70200","70090","72030","71650","63890","65700","63690","62520","72710","82530","90940","98030","101160","96470","86280","79230","82670","86060","84370","84080","83360","85900","84500","83390","",
"Latin America & Caribbean (excluding high income)","LAC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5716.16717748961","6053.47212947068","6255.64795536505","6788.99691162288","7107.11524011384","7250.1475097518","7489.47028158233","7880.58038473373","7982.27803273245","7951.59019500031","8374.94841335825","8473.1141173291","8475.01241351724","8679.86846538342","9270.77535791704","9862.57543636165","10776.1356154206","11583.184480431","12209.6341940466","12001.2715710536","12696.2552922832","13507.5406059448","14003.3625348531","14487.6202294093","14802.8529656591","14816.6723632391","14808.1828965784","15247.259636235","15613.1090677697","",
"Lao PDR","LAO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110","1160","1220","1290","1390","1480","1580","1640","1690","1830","1900","2020","2150","2240","2450","2710","2890","3210","3420","3720","3870","4180","4570","4980","5440","5810","6190","6570","7090","",
"Lebanon","LBN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4420","5490","6330","6670","7110","7510","8210","8260","8480","8460","8610","8600","8260","7240","8740","9280","9750","11190","12280","13200","13920","13760","13550","13250","12890","12570","12490","12800","12610","",
"Liberia","LBR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930","880","900","610","650","700","780","870","930","960","980","1090","1120","1200","1190","1190","1160","1170","1130","",
"Libya","LBY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17280","19720","20260","23040","25470","27290","28050","27730","28880","11110","24490","21790","17110","16060","15390","19380","20990","",
"St. Lucia","LCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5550","5670","6250","6290","6480","6600","6890","6850","7240","7480","7530","7250","7440","7760","8370","8520","10140","10420","10970","10980","11110","11880","11850","11930","11400","11190","12030","12760","12970","",
"Latin America & Caribbean","LCN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5733.17955985644","6075.53026982788","6300.14763329874","6831.29986912377","7154.84827976571","7323.58422525262","7583.28804648931","7986.93379752334","8107.06823410842","8088.63922925455","8517.70829987737","8627.45187940282","8641.09587279182","8850.71812334235","9462.17071416307","10065.7468786766","11023.3228443505","11849.619420484","12465.3614170345","12255.8165816732","12980.187346128","13835.9043000177","14368.5163884952","14879.076479947","15202.3152454762","15234.7916834316","15238.6143607356","15701.8187421461","16092.0618660581","",
"Least developed countries: UN classification","LDC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","835.53480151456","866.575941045622","836.931245228044","868.76045053605","880.086965951235","948.453690284758","993.470235799913","1041.76532676998","1069.99056573672","1097.25223140172","1150.56575649891","1207.18620038875","1264.9418043349","1321.85990423558","1409.86726251807","1529.64709538063","1666.19972473441","1812.2398434403","1930.4701228279","2011.4520448066","2109.66791431297","2188.33263827797","2291.93357538086","2360.24520758538","2526.48123152193","2610.45796674667","2685.89416925425","2808.43182990181","2941.42439915741","",
"Low income","LIC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","859.161631103979","876.871275325129","857.32115204093","872.449431141297","871.774149712934","902.474378157475","943.074490954338","969.424064518337","993.529171591316","1011.0033109386","1043.65973466162","1084.86452566319","1108.29483873642","1141.44935628223","1209.3639182599","1289.49073181665","1378.11970727363","1464.430332327","1538.01253244598","1591.3914364783","1680.72889277258","1715.5278175135","1798.16010861822","1891.18630209454","1980.0411620661","2009.24906073463","2046.68406901851","2134.62493025635","2225.46056567995","",
"Liechtenstein","LIE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2330","2480","2640","2860","3040","3230","3380","3650","3830","4020","4330","4330","4550","4900","5250","5690","6260","6830","7230","7590","8240","9060","9990","10370","10990","11530","12030","12540","13090","",
"Lower middle income","LMC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780.35746483095","1829.39805305969","1879.34504357606","1925.23172480049","2001.57177738283","2116.19038733385","2243.96211987981","2331.21472639171","2335.88175658884","2435.58013974037","2554.10907872834","2701.02687766879","2828.06210889941","3004.87317627351","3242.87542961218","3498.26143582272","3810.48841347174","4125.23917714284","4327.01418363002","4504.32126517061","4795.99916309838","5060.37015426695","5337.70076674394","5636.35505035185","6006.20082030514","6340.98495580922","6702.115902212","7110.10668983115","7585.35870080291","",
"Low & middle income","LMY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2447.94166512351","2526.88774883052","2591.53312094946","2726.0697211723","2823.4429125293","2957.90361566262","3116.88577353779","3271.57485851102","3329.03922862453","3447.97877056991","3682.35183895685","3863.32856601132","4054.7448703551","4318.33905152532","4715.87407939465","5145.00555382726","5742.17646808143","6339.60711757674","6825.20094947205","7008.09650310553","7517.8748985489","8082.14409011762","8576.99911392854","9027.94108539843","9550.34843521999","9905.69169019804","10364.9252904537","10983.2551309706","11630.0890526806","",
"Lesotho","LSO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1350","1400","1420","1410","1470","1480","1560","1600","1570","1620","1660","1990","2050","2160","2180","2210","2290","2740","2920","2900","3010","3050","3200","3240","3290","3400","3580","3520","3610","",
